ANACOLUTOS	 1. m. Gram. Inconsecuencia en la construcción del discurso.
cribados	Entradas que contienen la forma «cribados» | Diccionario de la lengua española | RAE - ASALE
crápula	 1. f. Disipación, libertinaje. 2. f. p. us. Embriaguez o borrachera. 3. m. Hombre de vida licenciosa.
cuchipanda	 1. f. coloq. Comida que toman juntas y regocijadamente varias personas.
culo	1. m. Conjunto de las dos nalgas. 2. m. En algunos animales, zona carnosa que rodea el ano. 3. m. ano. 4. m. Extremidad inferior o posterior de algunas cosas. Culo del pepino, del vaso.
currinche	 1. m. y f. Entre periodistas, principiante, gacetillero.
cuscurroextremo	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
dawdle!	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
decir	1. tr. Manifestar con palabras el pensamiento. U. t. c. prnl. 2. tr. Asegurar, sostener, opinar. 3. tr. Nombrar o llamar. 4. tr. Denotar algo o dar muestras de ello. El semblante de Juan dice su mal genio. Su vestido dice su pobreza.
deferencia	1. f. Adhesión al dictamen o proceder ajeno, por respeto o por excesiva moderación. 2. f. Muestra de respeto o de cortesía. 3. f. Conducta condescendiente.
dehesa	1. f. Tierra generalmente acotada y arbolada, por lo común destinada a pastos. dehesa carneril 1. f. dehesa en que pastan carneros. dehesa potril
deneí	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
denuedo	 1. m. Brío, esfuerzo, valor, intrepidez.
derrelicto	 1. m. Mar. Buque u objeto abandonado en el mar.
desabrido	 Que es fuerte y dura al disparar, de manera que da coz o golpe al tirador.
desamorrar	1. tr. coloq. Hacer que alguien levante la cabeza o que, dejando el silencio en que estaba, responda y converse con quienes están presentes.
desdar	1. tr. Dar vueltas, en sentido inverso, a un manubrio, carrete o cuerda para deshacer otras vueltas anteriores. 2. tr. desabrochar (‖ desasir los broches o corchetes).
deshonrabuenos	1. m. y f. coloq. desus. Persona que murmura de otros, desacreditándolos y poniéndolos en mala opinión sin razón ni verdad. 2. m. y f. coloq. desus. Persona que degenera con respecto a sus mayores.
desopilante	 1. adj. Festivo, divertido, que produce mucha risa.
despidida	 1. f. rur. Ar. Salida, desaguadero.
diente	1. m. Cuerpo duro que, engastado en las mandíbulas del hombre y de muchos animales, queda descubierto en parte, para servir como órgano de masticación o de defensa.
digitígrado	 Que al andar apoya solo los dedos; p. ej., el gato.
dinamómetro	 1. m. Mec. Instrumento para medir fuerzas, basado en la deformación elástica de un muelle calibrado.
ditirambo	1. m. Alabanza exagerada, encomio excesivo. 2. m. En la antigua Grecia, composición poética en loor de Dioniso. 3. m. Composición poética, comúnmente de carácter laudatorio, a semejanza del ditirambo griego.
ditirámbica	 1. adj. Perteneciente o relativo al ditirambo.
dogal	1. m. Cuerda o soga de la cual con un nudo se forma un lazo para atar las caballerías por el cuello. 2. m. Cuerda para ahorcar a un reo o para algún otro suplicio.
donosa	 1. adj. Que tiene donaire y gracia. U. t. en sent. irón. Donosa ocurrencia, pregunta.
dígrafos	 1. m. Ling. Secuencia de dos letras que representa un solo sonido; p. ej., en español ll, en francés ou, en catalán ny.
díscolos	 1. adj. Desobediente, que no se comporta con docilidad. U. t. c. s.
egregio	 1. adj. Insigne, ilustre.
elipsis	1. f. Gram. Omisión de un segmento sintáctico cuyo contenido se puede recuperar por el contexto; p. ej., en Juan estudia biología y María (estudia) matemáticas.
en	1. prep. Denota en qué lugar, tiempo o modo se realiza lo expresado por el verbo a que se refiere. Pedro está en Madrid. Esto sucedió en Pascua. Tener en adobo.
encaratularsE	 1. prnl. Cubrirse la cara con mascarilla o carátula.
enfebrecida	1. adj. coloq. calenturiento (‖ que tiene calentura). 2. adj. Exaltado, arrebatado de una pasión. Imaginación enfebrecida. Discurso enfebrecido.
engastado	 1. tr. Encajar y embutir algo en otra cosa. Engastar una esmeralda en oro. U. t. en sent. fig.
enhebrando	1. tr. Pasar la hebra por el ojo de la aguja o por el agujero de las cuentas, perlas, etc. 2. tr. coloq. Decir seguidas muchas cosas sin orden ni concierto.
ennudecer	 Dejar de crecer.
entresijo	 Tener muchas dificultades o enredos no fáciles de entender o desatar.
epatar	 1. tr. Producir asombro o admiración. U. t. c. intr.
ermita	 1. f. Capilla o santuario, generalmente pequeños, situados por lo común en despoblado y que no suelen tener culto permanente.
errabunda	 1. adj. Que va de una parte a otra sin tener asiento fijo.
escaque	1. m. Cada una de las casillas cuadradas e iguales, blancas y negras alternadamente, y a veces de otros colores, en que se divide el tablero de ajedrez y el del juego de damas.
escayola	1. f. Yeso fino calcinado, utilizado en construcción para fabricar placas y elementos ornamentales y, en medicina, para endurecer vendajes.
escolios	 1. m. Nota que se pone a un texto para explicarlo.
espantanublados	1. m. coloq. Persona inoportuna que interrumpe una conversación o descompone un proyecto. 2. m. coloq. Tunante que andaba con hábitos largos por los lugares, pidiendo de puerta en puerta y haciendo creer a la gente rústica que tenía poder sobre los nublados.
espetó	1. tr. Atravesar con el asador, u otro instrumento puntiagudo, carne, aves, pescados, etc., para asarlos. 2. tr. Atravesar, clavar, meter por un cuerpo un instrumento puntiagudo.
espuertas	1. f. Especie de cesta de esparto, palma u otra materia, con dos asas, que sirve para llevar de una parte a otra escombros, tierra u otras cosas semejantes.
estabulamos	 1. tr. Meter y guardar ganado en establos.
estomagados	 1. tr. Causar indigestión, empachar, ahitar. 2. tr. Causar fastidio o enfado. Su presunción me estomaga.
estraperlistas	 1. m. y f. coloq. Persona que practica el estraperlo (‖ comercio ilegal).
estípite	1. m. Arq. Pilastra en forma de pirámide truncada invertida, con un elemento figurativo en la parte superior. 2. m. Bot. Tallo largo y no ramificado de las plantas arbóreas, especialmente de las palmeras.
estólido	 1. adj. Falto de razón y discurso. U. t. c. s.
etiología	1. f. Fil. Estudio sobre las causas de las cosas. 2. f. Med. Estudio de las causas de las enfermedades. 3. f. Med. Conjunto de causas de una enfermedad.
exigua	 1. adj. Insuficiente, escaso.
exiguos	 1. adj. Insuficiente, escaso.
expósito	 Abandonado o expuesto, o confiado a un establecimiento benéfico. U. m. c. s. casa de expósitos
fagot	1. m. Instrumento musical de viento, formado por un tubo de madera de unos siete centímetros de grueso y más de un metro de largo, con agujeros y llaves, y con una boquilla de caña puesta en un tudel.
fallero	1. adj. Perteneciente o relativo a las fallas3. 2. m. y f. Persona que por oficio construye las fallas que han de quemarse en las fiestas de San José en Valencia.
faltriquera	1. f. Bolsillo de las prendas de vestir. 2. f. Bolsa de tela que se ata a la cintura y se lleva colgando bajo la vestimenta. 3. f. cubillo (‖ aposento de los antiguos teatros de Madrid).
fiambrera	1. f. Recipiente con tapa bien ajustada, que sirve para guardar comida o llevarla fuera de casa. 2. f. Cestón o caja para llevar la provisión de alimentos fríos.
figón	 1. m. Casa de poca categoría, donde se guisan y venden cosas de comer. 2. m. desus. figonero.
filatería	1. f. Palabrería que usan los embaucadores para engañar y persuadir de lo que quieren. 2. f. Demasía de palabras para explicar o dar a entender un concepto.
fodolí	 1. adj. desus. Entremetido, hablador, que pretende aconsejar, mandar o intervenir donde no lo llaman.
follón	1. adj. p. us. Flojo, perezoso y negligente. U. t. c. s. 2. adj. p. us. Vano, arrogante, cobarde y de ruin proceder. U. t. c. s. 3. m. Cohete que se dispara sin trueno.
frigidísimo	 1. adj. sup. cult. de frío.
frontispicio	1. m. Fachada o delantera de un edificio, mueble u otra cosa. 2. m. Página de un libro anterior a la portada, que suele contener el título y algún grabado o viñeta.
fruición	 1. f. Goce muy vivo en el bien que alguien posee. 2. f. Complacencia, goce. El malvado tiene fruición en ver llorar.
fundón	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
fuña	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
fámula	 1. m. y f. coloq. Criado doméstico. 2. m. Sirviente de la comunidad de un colegio.
fárrago	 1. m. Cúmulo de ideas o expresiones confusas, inconexas o superfluas. 2. m. Montón de cosas desordenadas.
férvidos	 1. adj. Que hierve. 2. adj. Que arde. 3. adj. Que causa ardor.
gambito	1. m. En el juego de ajedrez, lance que consiste en sacrificar, al principio de la partida, algún peón u otra pieza, o ambos, para lograr una posición favorable.
gandumbas	 1. adj. coloq. Haragán, dejado, apático. U. t. c. s. 2. f. pl. testículos.
garambaina	1. f. Adorno de mal gusto y superfluo en los vestidos u otras cosas. 2. f. pl. coloq. Ademanes afectados o ridículos. 3. f. pl. coloq. Letras o rasgos mal formados y que no se pueden leer.
gargaleote	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
garullada	 1. f. coloq. Conjunto desordenado de gente.
gazmoñerías	 1. f. Afectación de modestia, devoción o escrúpulos.
gañanes	 1. m. Mozo de labranza. 2. m. Hombre fuerte y rudo.
glacis	 1. m. Mil. En una fortificación permanente, declive desde el camino cubierto hacia el campo.
golondro	1. m. Deseo y antojo de algo. andar en golondros 1. loc. verb. coloq. desus. Andar desvanecido, con esperanzas peligrosas e inútiles. campar de golondro
gotoso	 Que tiene torpes los pies por enfermedad.
guaperas	 1. adj. despect. coloq. Guapo y presumido. U. t. c. s. m.
guata	1. f. Lámina gruesa de algodón en rama, engomada por ambas caras, que sirve para acolchados o como material de relleno. 1. f. coloq. Arg., Bol., Chile, Ec. y Perú. Barriga, vientre, panza.
guedejas	1. f. Cabellera larga. 2. f. mechón. 3. f. Melena del león. tener algo por la guedeja 1. loc. verb. No dejar escapar la ocasión de lograrlo.
guinda	1. f. Fruto del guindo. 2. f. coloq. Cosa que remata o culmina algo. 3. f. El Salv. Huida a la carrera. 4. m. despect. coloq. p. us. guindilla (‖ agente de policía).
habón	 1. m. Bulto en forma de haba que causa picor y aparece en la piel producido por la picadura de un insecto, por urticaria, etc.
hala	1. interj. U. para infundir aliento o meter prisa. 2. interj. U. para mostrar sorpresa. 3. interj. U. para llamar. 4. interj. U. para denotar la persistencia en una marcha. U. repetida.
hale	 1. interj. hala.
haplología	1. f. Ecd. haplografía. 2. f. Ling. Eliminación de una sílaba semejante a otra contigua de la misma palabra; p. ej., cejunto por cejijunto, impudicia por impudicicia.
hatajo	 1. m. Grupo pequeño de ganado. 2. m. despect. Grupo de personas o cosas. Un hatajo de pillos, de disparates.
henchido	1. tr. Llenar un espacio o un recipiente hasta su límite. El viento henchía las velas. U. t. c. prnl. U. t. en sent. fig. Henchirse de gozo.
herma	 1. m. Busto sin brazos colocado sobre un estípite.
higa	1. f. Dije de azabache o coral, en forma de puño, que ponen a los niños con la idea de librarlos del mal de ojo. 2. f. Gesto que se ejecuta con la mano, cerrado el puño, mostrando el dedo pulgar por entre el dedo índice y el cordial, con el que se señalaba a las personas infames o se hacía desprecio de ellas.
himenópteros	 Que es masticador y lamedor a la vez, por estar provista su boca tanto de mandíbulas como de una especie de lengüeta, que tiene en el extremo del abdomen, en la hembra de algunas especies, un aguijón en el que desemboca el conducto excretor de una glándula venenosa, y que tiene cuatro alas membranosas y metamorfosis complicada; p. ej., la abeja y la avispa. U. t. c. s. m., en pl. como taxón.
hiperónimo	 1. m. Ling. Palabra cuyo significado está incluido en el de otras. Pájaro es hiperónimo de jilguero y de gorrión.
homúnculo	 1. m. cult. Hombre pequeño. U. t. en sent. despect.
hordimbre	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
horros	 Que no quedan preñadas.
horteras	1. adj. despect. coloq. Vulgar y de mal gusto. Apl. a pers., u. t. c. s. 2. f. Escudilla o cazuela de palo. 3. m. En Madrid, apodo del mancebo de ciertas tiendas de mercader.
hueco	1. adj. Que tiene vacío el interior. Esta columna está hueca. 2. adj. Que tiene sonido retumbante y profundo. Voz hueca. 3. adj. Mullido y esponjoso. Tierra, lana hueca.
huero	 1. adj. Vano, vacío y sin sustancia. salir huero, ra algo 1. loc. verb. coloq. frustrarse (‖ malograrse). huevo huero V. güero2.
ignaras	 1. adj. Que no tiene noticia de las cosas.
ignoto	 1. adj. No conocido ni descubierto.
impasible	 1. adj. Incapaz de padecer o sentir. 2. adj. Indiferente, imperturbable.
impetró	 1. tr. Conseguir una gracia que se ha solicitado y pedido con ruegos. 2. tr. Solicitar una gracia con encarecimiento y ahínco.
incordio	 1. m. buba (‖ tumor blando). 2. m. buba (‖ tumor de origen no venéreo). 3. m. coloq. Persona o cosa incómoda, agobiante o muy molesta.
individuo	 1. adj. individual. 2. adj. Que no puede ser dividido. 3. m. y f. coloq. Persona cuyo nombre y condición se ignoran o no se quieren decir.
inefables	 1. adj. Que no se puede explicar con palabras.
ingentes	 1. adj. Muy grande.
inocuas	 1. adj. Que no hace daño.
inopia	 1. f. cult. Indigencia, pobreza, escasez. en la inopia 1. loc. adv. coloq. En la más absoluta ignorancia de algo.
intonsasilfo	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
intrusismo	 1. m. Ejercicio de actividades profesionales por persona no autorizada para ello. Puede constituir delito.
invectiva	 1. f. Discurso o escrito acre y violento contra alguien o algo.
isba	 1. f. Vivienda rural de madera, propia de algunos países septentrionales del antiguo continente, y especialmente de Rusia.
islilla	 1. f. p. us. Sobaco del cuerpo humano. 2. f. p. us. Clavícula del cuerpo humano.
izquierdear	 1. intr. desus. Apartarse de lo que dictan la razón y el juicio.
jamaquión	 1. m. El Salv. y Nic. Movimiento fuerte de la tierra. 2. m. Nic. Tirón que da el dentista al extraer una muela.
jubón	1. m. Vestidura que cubría desde los hombros hasta la cintura, ceñida y ajustada al cuerpo. 2. m. coloq. jubón de azotes. jubón de azotes 1. m. coloq. Azotes que por justicia se daban en las espaldas.
